	TRAVELRES13	TRAVELRES35	TRAVELRES37	TRAVELRES39	TRAVELRES57	TRAVELRES59	TRAVELRES63	TRAVELRES65	TRAVELRES67	TRAVELRES47	TRAVELRES23	TRAVELRES70	TRAVELRES21	TRAVELRES27	TRAVELRES1	TRAVELRES3	TRAVELRES5	TRAVELRES17	TRAVELRES19	TRAVELRES25	TRAVELRES41	TRAVELRES43	TRAVELRES45	TRAVELRES55	TRAVELRES7	TRAVELRES11	TRAVELRES15	TRAVELRES29	TRAVELRES31	TRAVELRES33	TRAVELRES61	TRAVELRES9	TRAVELRES53	TRAVELRES49	TRAVELRES51	TRAVELRES14	TRAVELRES36	TRAVELRES38	TRAVELRES40	TRAVELRES58	TRAVELRES60	TRAVELRES64	TRAVELRES66	TRAVELRES68	TRAVELRES48	TRAVELRES24	TRAVELRES69	TRAVELRES22	TRAVELRES28	TRAVELRES2	TRAVELRES4	TRAVELRES6	TRAVELRES18	TRAVELRES20	TRAVELRES26	TRAVELRES42	TRAVELRES44	TRAVELRES46	TRAVELRES56	TRAVELRES8	TRAVELRES12	TRAVELRES16	TRAVELRES30	TRAVELRES32	TRAVELRES34	TRAVELRES62	TRAVELRES10	TRAVELRES54	TRAVELRES50	TRAVELRES52
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae	0.01545	0	0.01774	0.00274	0.00051	0.0666	0	0.04	0	0	0.0237	0.00355	0.00255	0.01772	0.01158	0	0.00026	0.00136	0.00918	0	0.00026	0.01221	0	0.00524	0.00143	0.00104	0.00259	0.09183	0.21324	0	0	0.27824	0.34556	0	0.07804	0.10128	0	0	0.00321	0	0.02975	0	0.00332	0	0.00052	0.0074	0.00587	0.0101	0.00061	0.00354	0.00055	0.00456	0.00572	8e-04	0	0	0.00429	0	0.0025	0.00054	0	0.0016	0.01127	0.01233	0.5364	0.00238	0	1.31194	0	0.01385
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	0.01527	0.69184	0	0.24755	0.04531	0.17483	1.15346	0.44133	0.01859	0.05913	0.20652	0.3183	0.24608	0.17857	0.05106	0.27552	0.03745	0.00215	0.69678	0.0025	0.22684	1.97207	0.27764	0.17941	0.15547	0.07299	0.00783	0.20503	0.6347	0.78953	0.08527	0.00724	0.00018	0.17413	0.18444	0.05128	0.43007	0	0.30015	0.12642	0.12971	0.45178	0.09912	0.01617	0.90623	0.48025	0.23833	1.34865	0.06681	0.00871	0.31248	0.10621	0.0451	3.36496	0.01281	0.53507	0.49527	0.06159	0.05047	0.16004	0.27884	0.00416	0.06023	1.01857	1.38865	0.65128	0.00855	0	0.38314	0.0269
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia	0.01311	0.00836	0	0.00184	0	0.00358	0.00411	0.13499	0.00873	0.02403	0	0.0661	0.01504	0.0163	0.10542	0.01018	0.04204	0.02936	0	0.00042	0.00964	0.01565	0.00459	0.04897	0.00951	0.00609	0.07022	0.0422	0.01332	0	0.01539	0.01453	0.00173	0.01679	0.09636	0.10409	0.01018	0	0.02956	0.00602	0.00365	0.00849	0.0747	0	0.01991	0.05718	0.02176	0.04711	0.00307	0.05499	0.02706	0.0873	0.01489	0	0.01664	0.00382	0.00543	0.00884	0.00242	0.00294	0.00262	0.00953	0.02904	0.02335	0	0.0291	0.01509	0.07878	0.00883	0.05522
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme	0.01213	0	0.00284	0	0	0.00302	0	0.00238	0	0	0.00227	0	0	0	0	0	0	0	0	0	0	0.00164	0	0.00211	0	0.00077	0	0	0	0	0	0	0.0062	0	0.00035	0.00502	0	0	0	0	0.00056	0	0	0	0	0.00187	0	0	0	0	0	0	0	0	0	0	0.00173	0	0	0	0	0	0	0	0.28388	0	0	0.08539	0	0.0015
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	0.0099	0	0	0.00349	0	0.16109	0	0.15709	0.01064	0.05674	0	0.00026	0	0.00068	0	0	0.00053	0.00299	0	0	0	0	0	0.10979	0.00388	0.03093	0.08722	0.00373	0.0033	1.24257	0	0.70623	0	0	5e-05	0.44341	0.00988	0	0.00043	0.00119	0.26438	0	0.06084	5e-05	0.14946	0	0	0	0.05	0	0	0.00333	0.10281	0.14931	0.00059	0	0	0.07929	0.22059	0.002	0.00096	0.00773	0.11816	0	1.5054	0	0.23861	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_asparagiforme	0.00839	0	0.02009	0.00136	0	0.02851	0	0.03292	0	0	0.01773	0.00386	0.00126	0.01336	0.00983	0	0	0	0.01703	0	0.00128	0.00409	0.00313	0.00484	0	0.00146	0.00711	0.00081	0.00479	0.00164	0	0.00178	0.0139	0	0.00185	0.01626	0	1e-04	0.00017	0	0.02639	0	0.00528	0	0.00417	0.00654	0	0.05268	6e-04	0.00838	0.00261	0.00348	0.00133	0	0.00234	0	0.00157	0	0.00833	0	0	0.005	0.00625	0.00151	0.05973	0.00079	0	0.01307	0.00041	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula	0.00788	0.01963	0.00464	0.06689	0.00499	0.07414	0.02181	0.04855	7e-05	0.04445	0.01079	0.03169	0.01348	0.07607	0.03183	0.04739	0.0067	0.08899	0.01317	0.0178	0.20052	0.03561	0.00869	0.01202	0.01498	0.01612	0.09812	0.00118	0.32356	0.02116	0.01713	0	0.00384	0.03571	0.01204	0.01824	0.00913	0.05094	0.05033	0.07204	0.08725	0.00412	0.03011	0.01003	0.00675	0.00985	0.04815	0.0514	0.02477	0.09608	0.00583	0.01337	0.02704	0.00716	0.01805	0.30964	0.02955	0.02078	0.06912	0.22154	0.103	0.03629	0.00598	0.02766	0.0115	0.02575	0.00684	0.00827	0.00986	0.10665
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified	0.00738	0.01282	0	0.00754	0.06786	0.17199	0.04582	0	0.10496	0.01966	0.04231	0	0	0	0	0	0.00946	0.00667	0.01167	0.0846	0.05716	0	0.00088	0	0.06604	0.01927	0	0	0	0.00491	0.00142	0.01173	0	0	0	0	0.02782	0	0.01132	0.00332	0	0.02725	0	0.04989	0	0	0	0.00156	0.01094	0	0	0.00102	0.02436	0.0418	0.03594	0.04662	0	0.0034	0.00171	0.0364	0.01933	0.00914	0	0	0	0.0033	0.00277	0	0	0.01458
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.00706	0.11954	0	0.1104	0.92603	0.02289	0.11383	0.0319	0.13936	0.06384	0.03328	0.09888	0	0.05403	0.17098	0.37572	0.70942	0.00763	0.58702	0.0095	0.13089	0.33509	0.05905	0.28179	0.05147	0.26288	0.15359	0.12445	0.708	0.23105	0.29923	0.1812	0.36874	0.02874	0.49835	0	0.26115	0	0.0616	0.64259	0.10097	0.08895	0.00248	0.00278	0.01013	0.19783	0.0497	0.23045	0.01106	0.00441	0.73302	0.3271	0.00766	0.13615	0.23491	0.01681	0.02618	0.03642	0.18836	0.08758	0.1985	0.02	0.01119	0.28519	0.32892	0.72497	0.04622	0.16769	0.09253	0.15808
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridiaceae_noname|s__Clostridiaceae_bacterium_JC118	0.00701	0	0.0117	0.00493	0.00061	0.00787	0	0.02275	0	0	0	0	0.01012	0.00093	7e-04	0	0.00057	0	0.00162	0	0.00198	0.01126	0	0.00447	0	0	0	0	0.01691	0.00058	0	0.00992	0.00367	0	0.0069	0.0117	0	0.00263	0.00022	0	0.00787	0	7e-04	0	0.00227	0	0	0.02198	0	0.00137	0	0.01487	0.00046	0	0	0.00083	0.00035	0	0.00902	0.00074	0	0	0.0207	0.01716	0.01333	0	0	0.01477	0	0.00342
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis	0.00665	0.00514	0	0.00077	0	0.00458	0.00732	0	0.00822	0	9e-04	0.00044	0	0.00282	0	0	0.00104	0.00486	0.02553	0.00091	0.01117	0.0011	0.00808	0.0019	0.00288	0	0	0.00233	0.00565	0	0.00055	0.00028	0	0	0.00655	0.00351	0	0	0	0.00114	0.00176	0	0.00425	0.00152	0	0.00037	0.00816	0.00744	0	0	0.00266	0	0.00529	0.00424	0	0.00567	0.00319	0.00882	0.02306	0.00528	0	0	0.00755	0	0	0.00169	5e-04	0	0.00023	0.00203
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus	0.0065	0.02316	0.05791	1.13511	0	0	0.02204	0.05792	0.00935	0.00467	0.00893	0	0.19441	0.20226	0.21526	0.02091	0.09332	0.18045	0	0.02222	0.00189	0.01121	0.04347	0.00429	0.02218	0.11619	0.39268	0.03828	0.07086	0.05636	0.01975	0.05123	0	0.52665	0	1.23158	0.06399	0.00573	0.46733	0	0.00409	0.00189	0.01534	0	0.01516	0.05583	0	0.06325	0.07846	0.12101	0.03773	0.65807	0.02993	0.0943	0.05594	0.00271	0.00234	0.13237	0.00497	0.00901	0.24243	0.06874	0.15056	0.16752	0.43625	0.05053	0.08218	0.07099	0.07523	0.01434
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Flavonifractor|s__Flavonifractor_plautii	0.00645	0	0.00037	0	0.00496	0.00559	0	0.05128	0.00017	0	0.0602	0.00296	0.00783	0.00088	0.00389	0.00573	0	0.00011	0.0022	0	0.0052	0.00414	0	0.00705	0.01288	0.00403	0	0.01946	0.06686	0.0025	0.00188	2e-04	0.06456	0	0.0063	0.00378	0	0	0	0.00133	0.00689	0	0.00128	0	0.00047	0.01971	0.00257	0.01667	0	0.00133	0.02488	0.00095	0	0.00039	0.00125	0.00071	0.00412	0	0.0028	0.01629	0.00201	0	0.16212	0.04567	0.22465	0.02328	0	0.03379	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_4_56FAA	0.00592	0	0	0	0	0	0	0	0	0	0.00351	0	0.03379	0	0	0	0	0	0	0	0.00082	0.00551	0	0.00784	0	0	0	0	0	0.00045	0	0	0.05435	0	0	0	0	0	0	0	0	0	0.00064	0	0	0.00048	0	0.00577	0	0	0	0	0	0	0	0	5e-05	0	0	0	0	0	0.00525	0	0	0	0	0.26307	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus	0.00583	0	0	0.00269	0	5e-04	0.00098	0.05561	0	0	0.00185	0.01218	0.04741	0.0037	0.01013	0.00031	0.00125	0.00023	0.00095	0	0.01892	0	6e-05	0.01057	0.00654	0.0121	0	0.00298	0.01705	0	0.01096	0.00375	0.01205	0	0.00525	0	0	0	0.00109	0	0.00087	0	0.00402	0	0	0.00101	0.00625	0.03995	0.00429	0.00166	0.00179	0.00447	2e-04	0	0.00088	0.00079	0	0	0.00047	0.00214	0.00766	0	0.00345	0.03214	0	0.02138	0.0027	0.05224	0.00081	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus	0.0058	0.00117	0	0	0.01354	0	0	0.02697	0	0.01368	0.23273	0.40914	0	0.00028	0.09213	0.00299	0	0	0	0	0.04269	0.13943	0.01369	0.31072	1.93028	0.02877	0	0.10003	0.27894	0.17865	0.08977	0.00144	0.1009	0.02116	0.02563	0.06636	0.00863	0.07924	0.0153	0.0013	1.20895	0	0	0	0.0122	0.1665	0	7e-04	0.02344	0.08189	0.04045	0	0.00164	0.91272	0.0069	0.01245	0	0.00101	0.04552	0.35901	0.50239	0.00648	0.67904	0.03608	0	0	0.03053	0.01255	0.00348	0.06231
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis	0.00565	0.0189	0	0.01482	0	0.00329	0.00955	0.00721	0.00741	0.00027	0.00482	0.04364	0	0.01994	0.23663	0.19429	0	0.0132	0	0.07496	0.01867	0	0.17144	0.04018	0.09168	0.22703	0.05432	0.17683	0.00172	0.0849	0.01659	0.03962	0.02405	0.16513	0.02751	0.02246	0.02973	0	0.03696	0.00407	0.00621	0.01519	0.01116	0.00137	0.00017	0.00426	0.02943	0	0.01349	0.08256	0.20447	0	0.00892	0.00303	0.47821	0.00366	0.00056	0.28643	0.02392	0.05007	0.6884	0.10267	0.0284	0	0.0772	0.02844	0.06821	0.12452	0.1106	0.00457
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	0.00549	2.94428	0	3.97576	0.40558	3.39136	0.31766	1.02131	0.99185	1.13746	0	0.49778	0.53807	1.17442	0	0.43158	1.29907	0.43077	6.79257	1.77741	2.95284	0.45904	0.1645	0.45496	1.0687	4.23183	6.79738	0.06826	7.28906	5.03235	0.33392	1.6414	3e-05	0.33157	0	0.02157	8.56391	0.00016	6.6505	4.36202	1.63451	0.17226	5.35476	0.68941	0.88495	0.01436	0.34462	2.79746	2.06825	0.99505	0.43936	3.45619	0.41242	1.30886	1.89761	0.95825	0.21309	0.7263	0.01135	3.97471	5.50243	2.56272	1.08213	2.56566	6.0831	0.72287	0.01167	0.00029	2.00659	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_57FAA_CT1	0.00483	0	0.00631	0.00334	0	0.01064	0	0	0	0	6e-05	0.00114	0.02584	0.02816	0.00592	0	0	0.00014	0.00709	0	0	0.00225	0.00164	0.00394	0.00054	0.00131	0.00307	0.00149	0.0015	0	0.00301	0.02797	0.12324	0	0.00336	0.01522	0	0	0	0	0.00337	0	0	0	0.00082	0.00182	0	0.00687	0.00307	0.00115	0	0.00693	0.00302	0.00079	0	0	0	0.00396	0.00054	0	0	0.00073	0.0118	0.00272	0.0226	0.0085	0.0023	0.06436	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_symbiosum	0.00475	0	0.01061	0.00017	0	0.01455	0	0.00071	0	0	0.00703	0	0.00012	0.00017	0.00336	0	0	0	0.00299	0	0	0.00132	0	0.00179	0	0	0.01106	0.00198	0.0195	0	0	0	0.06209	0	0.01348	0.00111	0	0.00079	0	0	0.0158	0	0	0	0.00043	0.00661	0	0	0	0.00148	0	0.00293	0	0	0	0	0.00173	0	0	0	0	0.01299	0.00385	0.02107	0.0028	6e-05	0	0.09028	0	0.00904
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Viruses_noname|g__Viruses_noname|s__Croton_yellow_vein_mosaic_betasatellite	0.00457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_unclassified	0.00455	0.00889	0.00186	0.12008	0.00448	0.00371	0.04286	0.011	0.01117	0.04358	0.02099	0.00898	0.0381	0.07362	0.2077	0.00872	0.00247	0.01575	0.05618	0.00515	0	0.00329	0.00941	0.05819	0.01495	0.06301	0.01571	0.05312	0.01631	0.00583	0.00658	0.09336	0.04933	0.02669	0.03467	0	0.00752	0.00527	0.02188	0.00224	0.06862	0	0.00327	0.00436	0.01981	0.01871	0.00259	0.01111	0.0203	0.07459	0.00437	0.02702	0.01771	0	0.00958	0	0.00192	0.02283	0	0.00246	0.01867	0.01207	0.04988	0	0	0.01034	0.05762	0.01064	0.01981	0.01075
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii	0.00448	0.14612	0.06039	0.45229	0.06241	0.04372	0.0793	0.02371	0.12009	0.10968	0.03643	0.0753	0.22524	0.14802	0.1167	0.27764	0.17198	0.00725	0.21704	0.03119	0.0891	0.21598	0.02151	0.15799	0.05104	0.19627	0.10554	0.1695	0.12725	0.16177	0.13025	0.05836	0.10431	0.01988	0.1522	0.21902	0.3224	0.03648	0.19466	0.12733	0.0385	0.01927	0.01761	0.01675	0.00563	0.17111	0.06088	0.4395	0.1656	0.02628	0.58949	0.15434	0.18866	0.3818	0.08436	0.06363	0.00786	0.06543	0.09986	0.10481	0.1101	0.31699	0.39267	0.03146	0.04659	0.09144	0.04511	0.24989	0.13963	0.12082
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus	0.0042	5e-04	0.5756	0.00729	0.00487	0.02464	0.14483	0	0.01075	0.01996	0.00345	0.04269	0.01874	0.01515	0.06218	0.01953	0.03154	0.00072	0.00384	0.01086	0.00188	0.082	0.0053	0.0841	0.02366	0.01696	0.07147	0.04004	0.00701	0.04839	0.01242	0.00437	0.00628	0.00469	0.00772	0.03836	0.00255	0.08614	0.00378	0.03459	0.02209	0.00552	0.01599	0.00349	0.03347	0.0222	0.07687	0.04891	0.00956	0.02176	0.04319	0.10455	0.00481	0.01856	0.08506	0.00805	0.00175	0.02613	0.11838	0.14611	0.01707	0.07909	0.07377	0.00301	0.01508	0.00992	0.01145	0.00781	0.01132	0.02584
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_21_3	0.00389	0	0.00043	0	0	0	0	0.01093	0	0.00665	0	0.00063	0	4e-05	0.00287	0.00066	0	0	0.00101	0	0	0.00286	0	0.00126	0.00033	9e-04	0	0.00074	0.00026	6e-05	0	9e-05	0.00253	0	0.00142	0	0	0.00114	0	0	0	0	0.00022	0	0	0.00033	0.00117	0.00065	0	0.00017	0.00037	0	0	0	0	0	0	8e-05	0	0	0.00112	0	0.00518	0.00156	0.0029	0.00023	0	0.00081	0	0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname|s__Burkholderiales_bacterium_1_1_47	0.00364	0.00692	0	0.01096	0	0.32011	0.00017	0.01215	0	0	0.0055	0.02365	0	0.00721	0.14921	0.06899	0	0.00448	0	0.02769	0.01515	0	0.23985	0.0166	0.03351	0.32762	0.05688	0.01922	0.00118	0.31139	0.02192	0.01216	0.00186	0.03763	0.00414	0.01443	0.01522	0	0.02964	0.00175	0.45358	0	0.01121	0	0	0.00563	0.01105	0	0.00456	0.04888	0.053	0	0.0031	0.0065	0.1938	0.00294	0.00149	0.40604	0.00523	0.02416	1.34313	0.12917	0.01911	0	0.31482	0.052	0.0215	0.01433	0.02481	9e-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_citroniae	0.00339	0	0.0043	0.00469	3e-05	0.00759	0	0.01503	0.00207	0	0.01724	0.00212	0.00133	0.01139	0	0	0	0.00127	0.01135	0	0.00293	0.00322	0	0.00626	0.00055	0.00271	0.00471	0.00388	0.01037	0.00108	0.00199	0.00013	0.00626	0.00347	0.00925	0.01569	0.00057	0	0.00748	0	0.01247	0	0.00277	0	0.00188	0.00624	0.00048	0.02267	0	3e-04	0.00305	0.00096	0.00559	0.00311	0	0	0	0.00053	0.00809	0	0.00451	0.00202	0.01004	0.00875	0.01362	0.00784	0	0.00922	0.00031	0.00311
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantis	0.00317	0.00166	0	0	0.00101	0.00369	0	0.00952	0.00029	0.00074	0	0	0	0.00088	0.00455	0.00205	0	0.0055	0.00473	0	0.00448	0.00014	0.00657	0.00402	7e-04	0.00396	0.00142	0.00186	0.00149	0	0	2e-04	0.00209	0.00168	0.00113	0	0.0053	0	0	0.00133	0.00111	0	0.0135	0.00159	0.00024	0	0.00462	6e-04	0.00362	0.00952	0.00284	0	0	0.00514	0.00057	0.00394	0.00288	0.02887	0.00934	0.00353	0	0	0.00381	0	0	0.00159	0.00063	0	0.00556	0.00226
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis	0.00298	0	0	0.00247	0.00086	0.01719	0	0.03828	0	0	0.00525	0.00042	0.03578	0.00456	0.00772	0.00405	0	0	0.01068	0	0.00413	0.00245	0	0.00505	0.006	0.00066	0.00072	0.01598	0.00168	0.00128	0.00478	0	0.03726	0	0.01337	0.00025	0	0.00196	0.00134	0	0.01921	0	0.00567	0	0	0.0211	0	0.01024	0.00311	0.00073	0.02462	0.00142	0.00018	0	9e-05	0.00043	0.00232	0	0.00571	0.00099	0	0.00365	0.04555	0	0.03083	0.00599	0	0.01483	0	0.00026
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_hathewayi	0.00276	0	0.03151	0.00313	3e-05	0.00826	0	0.0174	0.00086	0	0.0016	5e-05	0.00662	0.01979	0	0	0.00021	0	0.00597	0	0	0.00376	0.00082	0.00737	0.00073	0.00111	0.01126	0.00342	0.00233	0.00081	0.00061	0.0053	0.00883	0.0017	0.00504	0.01989	0	0.0035	0	0	0.00749	0	0.00078	0	3e-04	0.00375	9e-05	0.01365	8e-04	0.00069	0.00428	0.00132	0.00024	0.00167	0.00033	0.00027	0.00142	0.00091	0.00377	0	0	0.00508	0.01234	0.02245	0.10008	0.00296	0	0.01408	0	0.00453
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_1_57FAA	0.00254	0.00347	0.89708	0	0	1.90805	0	0.19006	0.22618	0.00626	0.01686	0.04738	0.00208	0	0	0.13485	0	0	0.03221	0.88958	0	0.25001	0	0.20125	0.10778	0	0	0	0.01061	0.18784	0.02191	0.23285	0	0	0	0	0.01117	2.72024	0.00215	0.00137	2.05968	0	0.07926	0.06421	0.06479	0.10943	0.00169	1.21483	0.00759	0.29048	0.0046	0.13409	0	0	2.50813	0.05051	0.11807	0	0.15915	0.00415	0	0.02434	0.00448	0.02205	0	0.01575	0.07128	0	0.40186	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Mitsuokella|s__Mitsuokella_unclassified	0.00253	0	0.00155	0.00303	0.0019	0.00703	0	0	0	0.00335	0	0.00169	0	0.00194	0.00707	0	0.00407	0.00847	0	0	0.00199	0.00486	0.00625	0.00195	0.00288	0.00328	0	0.00178	0	0.00125	0.00234	0.00383	0.00156	0.00643	0.01174	0	0.00474	0	0.00182	0	0.00808	0	0.00121	0	0.00138	0	0.00144	0	0.00322	0.00497	0.0039	0.00261	0.00601	0.09638	0.00179	0.00108	0	0.00869	0.00425	0	0.03455	0.0104	0.00472	0	0.00251	0.00505	0.00502	0.0019	0.01333	0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica	0.0025	0.01358	0.0217	0.00859	0.00494	0.00963	0	0.01905	0	0.01791	0.00209	0.01063	0.00509	0.0049	0.00938	0.00968	0.00286	0.11774	0	0.00337	0.02098	0.0053	0.00576	0.00411	0.01384	0.00744	0.03284	0.00127	0.0305	0.00738	0.00152	0	0.00452	0.00926	0.00146	0	0.00541	0.00869	0.00538	0.01486	0.0271	0	0.04822	0.00109	0.00316	0	0.00585	0.00904	0.00982	0.00234	0.01805	0.00312	0.02498	0.00098	0.00283	0.01132	0.01583	0.01241	0.00995	0.19942	0.0231	0.0056	0.00612	0.00865	0.0054	0.00373	0.0032	0.00798	0.01069	0.01589
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis	0.00246	0	0	0	0.00227	0.00185	0	0	0	0	0	0	0	0	0	0.00278	0	0	0	0	0	0	0	0	0	0.00504	0	0	0.00367	0.00192	0	0	0	0	0.00338	0	0	0	0	9e-04	0	0	0	0	0	0	0.00347	0	0	0.0034	0	0	0.00389	0	0.00143	0	0	0	0.01457	0	0.01223	0.00518	0	0	0	0	0	0.00146	0	0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Potyviridae|g__Potyvirus|s__Dasheen_mosaic_virus	0.00245	0.00362	0.00524	0.00391	0.00046	0.0068	0.00427	0.00491	0.00167	0	0.00087	0	0.00164	0	0	0	0	0	0.00083	0.00053	0.00193	0	0	0	0.01045	0.01111	0.0244	0.00431	0.02692	0.00061	0.00227	0	0.00075	0	0	0.00904	0.00229	0.00616	0.00353	0.00173	0.00293	0	0.00468	0.00332	0	0	0	0.00106	0.00156	0	0	0	0	0	0	0.00052	0	0	0	0.51225	0.01672	0.0302	0.0354	0.00114	0	0.00244	0.00092	0	0.00072	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_casei_paracasei	0.00238	0	0	0	0	0	0	0	0	0	0	0	0.04824	0.0432	0	0	0	0.00017	0	0	0	0	0.00241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00058	0.00242	0	0.01905	0	0	0	0	0	5e-05	0	0	0	0	0	0	0	0	0	0.00225	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum	0.00201	1.18104	0.00034	0.46561	0.1077	1.94517	0.78718	0.01648	0.50608	0.08189	0.03376	0.33254	0.12373	0.01208	0.00607	0.04775	0.05754	1.14469	0.55099	0.02488	0.00254	1.1485	1.11383	0.36834	0.43108	0.54228	0.15612	0.02074	0.00973	0.82899	0.82929	0.29598	0	0.01226	0.16714	0.00138	0.55112	0.00112	0.08036	1.46334	1.5683	0.0096	0.00266	1.4278	0.0042	0.08885	0.24951	0.11899	0.00983	0.00377	0.06057	0.01691	0.29861	1.96539	0.41585	0.21769	1.88119	0.10327	0.14236	0.17221	1.99281	0.10556	0.10834	0	0	0.8109	0.27623	0	0.2173	0.08044
